User_SubFunctional_Area,User_Experience (Years),Relevant_Degree,Releveant_Cert,Industry,Sector,Relevant_Match_Score
Hardware / Telecom Equipment Design,6-12 exp,0,0,engineering,construction,1.0
"Embedded, VLSI",6-12 exp,1,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,1,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.79
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,1.0
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,1,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,1,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,1.0
"Embedded, VLSI",6-12 exp,1,0,engineering,construction,0.76
Telecom Network Design / Management,6-12 exp,0,0,engineering,construction,0.82
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
Telecom Network Design / Management,6-12 exp,1,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
Telecom Network Design / Management,6-12 exp,1,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.89
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,1,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,1,engineering,construction,0.76
Network / System Administration,6-12 exp,1,0,engineering,construction,1.0
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,1,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,1,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,1,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,1,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.89
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
Network / System Administration,6-12 exp,0,0,engineering,construction,0.73
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
Hardware / Telecom Equipment Design,6-12 exp,0,0,engineering,construction,0.79
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,1,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.89
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
Network / System Administration,6-12 exp,0,0,engineering,construction,0.73
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
Network / System Administration,6-12 exp,0,0,engineering,construction,0.77
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,1,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
Network / System Administration,6-12 exp,0,0,engineering,construction,0.73
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,1,0,engineering,construction,0.76
Network / System Administration,6-12 exp,0,1,engineering,construction,0.86
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
Telecom Network Design / Management,6-12 exp,0,0,engineering,construction,0.84
